,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
440,427,Simi Fehoko,LAC,26,WR,6,0,2,1,50.0%,9,9.0,1,1,50.0,9,4.5,0.2,1.5,0
441,428,Tucker Fisk,ATL,24,TE,6,2,1,1,100.0%,9,9.0,0,1,100.0,9,9.0,0.2,1.5,0
442,429,John FitzPatrick,ATL,23,TE,9,0,1,1,100.0%,12,12.0,0,1,100.0,12,12.0,0.1,1.3,0
443,430,Cole Fotheringham,LVR,26,TE,2,0,1,1,100.0%,6,6.0,0,0,100.0,6,6.0,0.5,3.0,0
444,431,Royce Freeman,LAR,27,RB,14,0,2,1,50.0%,13,13.0,0,1,50.0,13,6.5,0.1,0.9,0
445,432,Jake Funk,IND,25,RB,4,0,1,1,100.0%,12,12.0,0,1,100.0,12,12.0,0.3,3.0,0
446,433,Reggie Gilliam,BUF,26,FB,17,0,1,1,100.0%,3,3.0,0,0,0.0,3,3.0,0.1,0.2,0
447,434,Antoine Green,DET,24,WR,9,0,2,1,50.0%,2,2.0,0,0,0.0,2,1.0,0.1,0.2,0
448,435,Justin Herbert,LAC,25,QB,13,13,1,1,100.0%,10,10.0,0,1,100.0,10,10.0,0.1,0.8,4
449,436,Jesper Horsted,LVR,26,TE,13,0,1,1,100.0%,4,4.0,0,0,100.0,4,4.0,0.1,0.3,0
450,437,Sam Howell,WAS,23,QB,17,17,1,1,100.0%,4,4.0,0,0,0.0,4,4.0,0.1,0.2,4
451,438,Evan Hull,IND,23,RB,1,0,1,1,100.0%,6,6.0,0,0,100.0,6,6.0,1.0,6.0,0
452,439,Collin Johnson,CHI,26,WR,3,0,1,1,100.0%,11,11.0,0,1,100.0,11,11.0,0.3,3.7,0
453,440,Jakob Johnson,LVR,29,FB,13,5,2,1,50.0%,12,12.0,0,0,50.0,12,6.0,0.1,0.9,0
454,441,Ko Kieft,TAM,25,TE,16,6,5,1,20.0%,2,2.0,1,1,20.0,2,0.4,0.1,0.1,0
455,442,Mason Kinsey,TEN,25,WR,6,0,1,1,100.0%,6,6.0,0,0,0.0,6,6.0,0.2,1.0,0
456,443,Zonovan Knight,DET,22,RB,2,0,1,1,100.0%,8,8.0,0,0,100.0,8,8.0,0.5,4.0,0
457,444,Kwamie Lassiter II,CIN,25,WR,1,0,1,1,100.0%,2,2.0,0,0,0.0,2,2.0,1.0,2.0,0
458,445,Nick Muse,MIN,25,TE,2,0,1,1,100.0%,22,22.0,0,1,100.0,22,22.0,0.5,11.0,0
459,446,Gunner Olszewski,2TM,27,WR,12,0,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,4
460,447,Devine Ozigbo,DET,27,RB,3,0,1,1,100.0%,8,8.0,0,0,100.0,8,8.0,0.3,2.7,0
461,448,Rashaad Penny,PHI,27,RB,3,0,1,1,100.0%,5,5.0,0,0,100.0,5,5.0,0.3,1.7,0
462,449,Kevin Rader,TEN,28,TE,14,0,3,1,33.3%,6,6.0,0,0,33.3,6,2.0,0.1,0.4,0
463,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
464,450,Giovanni Ricci,CAR,27,TE,5,0,1,1,100.0%,2,2.0,0,0,0.0,2,2.0,0.2,0.4,0
465,451,Desmond Ridder,ATL,24,QB,15,13,1,1,100.0%,-6,-6.0,0,0,0.0,-6,-6.0,0.1,-0.4,12
466,452,James Robinson,GNB,25,RB,1,0,1,1,100.0%,-2,-2.0,0,0,0.0,-2,-2.0,1.0,-2.0,0
467,453,Malcolm Rodriguez,DET,24,LB,17,3,1,1,100.0%,6,6.0,0,1,100.0,6,6.0,0.1,0.4,0
468,454,Jeffery Simmons,TEN,26,DT,12,12,1,1,100.0%,2,2.0,1,1,100.0,2,2.0,0.1,0.2,0
469,455,Dan Skipper,DET,29,T,11,1,1,1,100.0%,4,4.0,0,0,100.0,4,4.0,0.1,0.4,0
470,456,Donovan Smith,KAN,30,T,12,12,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,0
471,457,Geno Smith*,SEA,33,QB,15,15,1,1,100.0%,-2,-2.0,0,0,0.0,-2,-2.0,0.1,-0.1,5
472,458,Mike Strachan,CAR,26,WR,4,1,3,1,33.3%,45,45.0,0,1,33.3,45,15.0,0.3,11.3,0
473,459,C.J. Stroud*,HOU,22,QB,15,15,1,1,100.0%,0,0.0,0,0,0.0,0,0.0,0.1,0.0,8
474,460,Cody Thompson,SEA,27,WR,7,0,1,1,100.0%,10,10.0,0,0,0.0,10,10.0,0.1,1.4,0
475,461,Laquon Treadwell,BAL,28,WR,5,1,3,1,33.3%,16,16.0,0,1,33.3,16,5.3,0.2,3.2,0
476,462,Nick Vannett,LAC,30,TE,8,5,1,1,100.0%,3,3.0,0,1,100.0,3,3.0,0.1,0.4,0
477,463,Tylan Wallace,BAL,24,WR,11,0,2,1,50.0%,11,11.0,0,1,50.0,11,5.5,0.1,1.0,0
478,464,Trevon Wesco,TEN,28,TE,15,10,3,1,33.3%,21,21.0,0,1,33.3,21,7.0,0.1,1.4,0
479,465,Damiere Byrd,ATL,30,WR,1,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
480,466,Irvin Charles,NYJ,26,WR,12,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
481,467,Phillip Dorsett,DEN,30,WR,2,1,3,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
482,468,D'Wayne Eskridge,SEA,26,WR,4,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
483,469,Erik Ezukanma,MIA,23,WR,2,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
484,470,Jamycal Hasty,2TM,27,RB,5,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
485,471,Travis Homer,CHI,25,RB,16,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
486,472,Shedrick Jackson,CIN,24,WR,5,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
487,473,Sean McKeon,DAL,26,TE,9,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
488,474,Jordan Mims,NOR,24,RB,2,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
489,475,Albert Okwuegbunam,PHI,25,TE,4,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
490,476,James Proche,CLE,27,WR,10,1,5,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,1
491,477,Amari Rodgers,IND,24,WR,3,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
492,478,Ryan Tannehill,TEN,35,QB,10,8,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,4
493,479,Trent Taylor,CHI,29,WR,17,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,2
494,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb
495,480,Jonathan Williams,WAS,29,RB,1,0,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
496,481,Rodney Williams,PIT,25,TE,13,0,2,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
497,482,Juwann Winfree,IND,27,WR,8,1,1,0,0.0%,0,,0,0,0.0,0,0.0,0.0,0.0,0
