,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
245,239,Jacoby Brissett,WAS,31,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,0
246,Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
247,240,DeAndre Carter,LVR,30,WR,17,1,3,18,0,2,66.7,15,6.0,1.1,2
248,241,Ja'Marr Chase*,CIN,23,WR,16,16,3,-6,0,0,0.0,2,-2.0,-0.4,1
249,242,Sean Clifford,GNB,25,QB,2,0,3,-2,0,0,0.0,0,-0.7,-1.0,1
250,243,Andy Dalton,CAR,36,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,0
251,244,Gerald Everett,LAC,29,TE,15,12,3,10,0,0,33.3,6,3.3,0.7,3
252,245,Derrick Gore,WAS,29,RB,6,0,3,26,0,1,33.3,23,8.7,4.3,0
253,246,Brian Hoyer,LVR,38,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,0
254,247,Quentin Johnston,LAC,22,WR,17,10,3,9,0,0,33.3,6,3.0,0.5,0
255,248,Cole Kmet,CHI,24,TE,17,17,3,2,0,2,66.7,1,0.7,0.1,1
256,249,Zonovan Knight,DET,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,0
257,250,Ray-Ray McCloud,SFO,27,WR,12,1,3,30,0,2,100.0,15,10.0,2.5,1
258,251,Isaiah McKenzie,IND,28,WR,13,2,3,14,0,0,33.3,7,4.7,1.1,3
259,252,Bo Melton,GNB,24,WR,5,1,3,21,0,2,100.0,12,7.0,4.2,0
260,253,Ty Montgomery,NWE,30,RB,13,0,3,9,0,0,33.3,7,3.0,0.7,0
261,254,Skyy Moore,KAN,23,WR,14,8,3,23,0,1,100.0,11,7.7,1.6,0
262,255,Devine Ozigbo,DET,27,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,0
263,256,Trey Palmer,TAM,22,WR,17,8,3,22,0,1,66.7,13,7.3,1.3,3
264,257,George Pickens,PIT,22,WR,17,16,3,18,0,2,66.7,16,6.0,1.1,3
265,258,Brett Rypien,LAR,27,QB,2,1,3,19,0,1,66.7,8,6.3,9.5,2
266,259,Tyquan Thornton,NWE,23,WR,9,3,3,51,0,1,66.7,39,17.0,5.7,0
267,260,Jaylen Waddle,MIA,25,WR,14,14,3,12,0,1,33.3,12,4.0,0.9,0
268,261,Jonathan Ward,TEN,26,RB,7,0,3,11,0,1,33.3,8,3.7,1.6,0
269,262,Jameson Williams,DET,22,WR,12,10,3,29,1,1,100.0,19,9.7,2.4,1
270,263,Keenan Allen*,LAC,31,WR,13,13,2,6,0,1,100.0,4,3.0,0.5,2
271,264,Nick Bawden,NYJ,27,FB,16,2,2,4,1,1,50.0,3,2.0,0.3,0
